Date,Open,High,Low,Close,Adj Close,Volume,Percent Returns
2013-10-03,59.599998,62.540001,59.23,62.119999,49.181358,12901595,1.4810123787
2013-10-04,61.400002,63.779999,61.02,63.040001,49.90974,13974635,0.0793071653
2013-10-07,63.07,63.540001,61.279999,63.09,49.949322,9234920,4.1052569242
2013-10-08,67.800003,69,65.300003,65.68,51.99987,12698915,3.7758863628
2013-10-09,63.900002,68.440002,63.799999,68.160004,53.963326,15244465,0.3080888676
2013-10-10,68.199997,68.959999,67.25,68.370003,54.129581,9826530,1.5650185801
2013-10-11,70,70.379997,68.489998,69.440002,54.976719,9395335,0.4032306839
2013-10-14,69.620003,70.940002,69.260002,69.720001,55.198402,6355525,-5.0200782986
2013-10-15,70.599998,70.699997,65.800003,66.220001,52.427399,12330290,1.4195115802
2013-10-17,66.809998,68.160004,65.32,67.160004,53.171612,9451345,3.1566242528
2013-10-18,67.220001,69.589996,67.220001,69.279999,54.85004,7179585,3.4497714131
2013-10-21,69.599998,72.110001,69.599998,71.669998,56.742241,9540935,3.8370215233
2013-10-22,72.199997,74.970001,70.199997,74.419998,58.919453,21896155,0.5374998984
2013-10-23,75.279999,76.440002,73.120003,74.82,59.236145,18660740,-3.0339313944
2013-10-24,74.800003,75.959999,72.220001,72.550003,57.438961,8943505,-2.0262030854
2013-10-25,72,72.449997,70.900002,71.080002,56.275131,5606125,-2.2650538121
2013-10-28,71.400002,72.379997,69.019997,69.470001,55.000469,4313160,6.9094683538
2013-10-29,69.25,74.540001,68.199997,74.269997,58.800709,16268085,0.2288781926
2013-10-30,74.620003,75.959999,73.660004,74.440002,58.935291,8714255,-0.9134764432
2013-10-31,74,74.559998,73.110001,73.760002,58.396931,6624140,2.5081249561
2013-11-01,74,77.269997,73.309998,75.610001,59.861599,10699050,-0.5025759502
2013-11-05,75.800003,76.599998,73.68,75.230003,59.560749,7107675,-2.0071742214
2013-11-06,75,75.5,72.75,73.720001,58.365261,5973865,-2.1296726489
2013-11-07,74.400002,74.93,72,72.150002,57.122272,6047540,-1.9126952793
2013-11-08,72.400002,73.099998,70.449997,70.769997,56.029697,7054890,-5.7227634124
2013-11-11,70.400002,70.599998,66.309998,66.720001,52.82325,8624515,-1.378890924
2013-11-12,66.839996,68.400002,65.25,65.800003,52.094875,6674525,0.8510626045
2013-11-13,65.199997,67.169998,64.650002,66.360001,52.538235,7435055,5.5605903015
2013-11-14,68,70.480003,68,70.050003,55.459671,8743815,3.5974194654
2013-11-18,71.419998,72.940002,71.400002,72.57,57.454788,4916115,0.1653630677
2013-11-19,72.800003,73.339996,72.080002,72.690002,57.549797,3956865,0.5089974514
2013-11-20,72.379997,74.559998,71.419998,73.059998,57.842724,7136115,-3.0112136489
2013-11-21,72.220001,72.220001,70.279999,70.860001,56.100956,5339295,-2.751906759
2013-11-22,71.959999,72.199997,68.480003,68.910004,54.55711,5955470,1.8284656207
