Date,Open,High,Low,Close,Adj Close,Volume
2013-10-06,437.049988,443,428,429.200012,421.040436,4286090
2013-10-13,430,431.850006,413.600006,415.299988,407.404633,4602260
2013-10-20,416.950012,425.549988,410.200012,415.5,407.600861,7008279
2013-10-27,416.25,421,408.700012,416.299988,408.38562,5032377
2013-11-03,416.299988,429.75,415.549988,423.149994,415.105408,4554510
2013-11-10,423,428.25,400,403,395.33847,5344189
2013-11-17,403.100006,407.049988,383.799988,385,377.680695,7253888
2013-11-24,389,392.75,378.549988,391.25,383.811859,7058080
2013-12-01,392,395.850006,385.600006,388.75,381.359375,3920687
2013-12-08,396,396,375.350006,376.700012,369.538483,5931189
2013-12-15,375.5,403.399994,373.200012,401.75,394.112274,9924585
2013-12-22,403.100006,409.5,396,405.149994,397.447571,5835043
2013-12-29,407.25,407.649994,386,391.75,384.302399,3430155
2014-01-05,393.899994,407.399994,387.649994,399.100006,391.512634,5513253
2014-01-12,396.350006,423.899994,396.350006,417.600006,409.660889,7586195
2014-01-19,419,425.850006,413.399994,414.399994,406.521729,4394432
2014-01-26,411.5,420.5,406.799988,410.600006,402.794006,5394930
2014-02-02,408.5,420,408.5,417.049988,409.121338,5777602
2014-02-09,419.450012,423.600006,370,373.350006,366.252167,20062999
2014-02-16,373.350006,378.049988,367.75,369.200012,362.181091,7508590
2014-02-23,366.5,385,366.5,384.299988,376.993988,9161010
2014-03-02,386,387.700012,374.299988,381.200012,373.952942,6230075
2014-03-09,381.75,387,373.850006,386.5,379.152161,7620322
2014-03-16,386.5,390.950012,379,387.950012,380.574615,4597385
2014-03-23,398,401.600006,382.549988,386.950012,379.593597,8412171
2014-03-30,388.200012,406.100006,379.149994,404.100006,396.417542,8686141
2014-04-06,407.899994,410.100006,392.200012,402.049988,394.406555,5627378
2014-04-13,402.049988,404.049988,393.600006,400.700012,393.082245,2922382
2014-04-20,400,404.75,392.399994,394.25,386.754822,3287068
2014-04-27,394.25,409.5,392.549988,402.100006,394.455597,4865915
2014-05-04,402.049988,404.399994,381.299988,392.299988,384.841888,7624567
2014-05-11,393.100006,425,384.5,388.25,380.868927,9578301
2014-05-18,390.149994,394.399994,378.899994,387.899994,380.525543,8712116
2014-05-25,388.350006,390.799988,367.5,384.549988,377.239227,9266039
2014-06-01,389,397.299988,381.200012,396.149994,388.618713,4953007
2014-06-08,398,420.899994,393.25,414.100006,406.227478,9365820
2014-06-15,414.75,443.25,410.149994,425.649994,417.557892,15360750
2014-06-22,427.200012,442.799988,418.049988,436.899994,428.593994,8385521
2014-06-29,442.700012,453.149994,435.700012,449.299988,440.75827,7788894
2014-07-06,449,460.649994,425.25,436,427.711121,7077364
2014-07-13,437,444.149994,427.649994,441.350006,432.959442,4659168
2014-07-20,444.649994,447.799988,436,445.649994,437.177612,3676950
2014-07-27,446.950012,463.350006,437.350006,442.5,434.087524,5577670
2014-08-03,444,447.5,430,436.700012,428.397827,4923163
2014-08-10,441.399994,452.25,432.75,448.600006,442.078766,5993973
2014-08-17,447.799988,502,442.25,499.299988,492.041748,11756105
2014-08-24,498,517.400024,495,514.200012,506.725128,6723074
2014-08-31,516.299988,575,514.700012,557.5,549.395691,16532221
2014-09-07,562,616.900024,558.75,612.75,603.842529,11356096
2014-09-14,612.599976,639.099976,604.200012,628.099976,618.96936,13414262
2014-09-21,626,626,573.700012,611.950012,603.054199,16065682
2014-09-28,612,631.400024,608.900024,624.299988,615.224548,3986906
2014-10-05,624.299988,630.349976,578.799988,592.400024,583.788391,9201171
2014-10-12,591,601,570.200012,595.599976,586.941833,6423209
2014-10-19,600,634.849976,599.5,628.450012,619.31427,5128373
2014-10-26,629.799988,673,620.099976,666.549988,656.860474,9569384
2014-11-02,670,671,647.700012,650.150024,640.698853,3645073
2014-11-09,652,653,606.950012,609.200012,600.344177,8333575
2014-11-16,609,645,593,627.049988,617.934631,9659361
2014-11-23,627,646.599976,608,635.150024,625.916931,12328368
2014-11-30,636.849976,667.299988,629.400024,647.299988,637.89032,11803156
2014-12-07,651,655,636,640.900024,631.583374,6299354
2014-12-14,641,643.849976,597.799988,618.950012,609.952454,7523598
2014-12-21,621.099976,636.450012,612.549988,622.799988,613.746399,5353476
2014-12-28,623.25,637.549988,618.599976,630.150024,620.989624,3243722
2015-01-04,626,641.5,604.5,632.349976,623.157593,7136943
2015-01-11,630.900024,650,625.950012,647.349976,637.939575,5864207
2015-01-18,652,686.5,641,677.650024,667.799133,8514227
2015-01-25,677.650024,711.900024,677.650024,695.75,685.635986,6755417
